Patent Application ID;Status;Applicant
19931853;Ceased;PFIZER HEALTH AB
19941619;Refused;PFIZER HEALTH AB
20002977;Granted;PFIZER HEALTH AB
20006323;Granted;ADVANCED MEDICINE INC
20010863;Granted;NOVARTIS AG (CH)
20012424;Granted;NOVARTIS AG (CH)
20012853;Granted;NOVARTIS AG (CH)
20013463;Granted;BAYER HEALTHCARE LLC (US)
20014524;Granted;SMITHKLINE
20016071;Granted;SANOFI-AVENTIS DEUTSCHLAND GMBH
20021920;Granted;ORION CORP (FI)
20026197;Granted;F HOFFMANN LA ROCHE AG
20043632;Granted;RIGEL PHARMACEUTICALS INC (US)
20055465;Granted;F HOFFMANN LA ROCHE AG
20060992;Pending;RIGEL PHARMACEUTICALS INC (US)
20062515;Granted;TAKEDA PHARMACEUTICAL COMPANY LIMITED (JP)
20063739;Pending;NOVARTIS AG (CH)
20071584;Granted;BAYER HEALTHCARE LLC (US)
20076687;Pending;ORION CORP (FI)
20084114;Granted;ORION CORP (FI)
